id,name_en,name_local,country,lat,lon,radius_km,dishes,sources,is_modal,retrieved
Q1187275,Burmese cuisine,မြန်မာအစားအသောက်,Myanmar,22.00000,96.00000,464,Mohinga|thali|khao soi|Thua nao|Burmese salad|Top Burmese,https://www.wikidata.org/wiki/Q1187275|https://en.wikipedia.org/wiki/Burmese_cuisine|https://my.wikipedia.org/wiki/%E1%80%99%E1%80%BC%E1%80%94%E1%80%BA%E1%80%99%E1%80%AC%E1%80%B7_%E1%80%A1%E1%80%85%E1%80%AC%E1%80%B8%E1%80%A1%E1%80%85%E1%80%AC,,2026-08-22
Q1194855,Nepalese cuisine,नेपाली व्यञ्जन,Nepal,28.00000,84.00000,216,Mul Chowk Kitchen|momo|Sichuan pepper|thali|Sel roti|La Voie Himalaya,https://www.wikidata.org/wiki/Q1194855|https://en.wikipedia.org/wiki/Nepalese_cuisine|https://ne.wikipedia.org/wiki/%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A5%80_%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%A8,,2026-08-22
Q1196175,South African cuisine,South African cuisine,South Africa,-29.00000,24.00000,600,fish and chips|bobotie|Malva pudding|Hertzoggie,https://www.wikidata.org/wiki/Q1196175|https://en.wikipedia.org/wiki/South_African_cuisine|https://en.wikipedia.org/wiki/South_African_cuisine,,2026-08-22
Q1196234,Norwegian cuisine,Culinária da Noruega,Norway,59.93333,10.68333,350,Labskaus|Kransekake|fish and chips|lutefisk|glogg|Ekebergrestauranten,https://www.wikidata.org/wiki/Q1196234|https://en.wikipedia.org/wiki/Norwegian_cuisine|https://no.wikipedia.org/wiki/Norsk_mat,,2026-08-22
Q1196267,Danish cuisine,dansk køkken,Denmark,56.00000,10.00000,117,Labskaus|Kransekake|smørrebrød|rødgrød|Danish|kringle,https://www.wikidata.org/wiki/Q1196267|https://en.wikipedia.org/wiki/Danish_cuisine|https://da.wikipedia.org/wiki/Det_danske_k%C3%B8kken,,2026-08-22
Q1199026,Georgian cuisine,ქართული სამზარეულო,Georgia,42.00000,44.00000,149,kvass|acıka|Badrijani|chakhokhbili|khash|kharcho,https://www.wikidata.org/wiki/Q1199026|https://en.wikipedia.org/wiki/Georgian_cuisine|https://ka.wikipedia.org/wiki/%E1%83%A5%E1%83%90%E1%83%A0%E1%83%97%E1%83%A3%E1%83%9A%E1%83%98_%E1%83%A1%E1%83%90%E1%83%9B%E1%83%96%E1%83%90%E1%83%A0%E1%83%94%E1%83%A3%E1%83%9A%E1%83%9D,,2026-08-22
Q1199030,Serbian cuisine,Српска кухиња,Serbia,43.95000,20.93333,168,Pasulj|Pljeskavica|Pinđur|Karađorđeva šnicla|cabbage roll|sarma,https://www.wikidata.org/wiki/Q1199030|https://en.wikipedia.org/wiki/Serbian_cuisine|https://sr.wikipedia.org/wiki/%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0_%D0%BA%D1%83%D1%85%D0%B8%D1%9A%D0%B0,,2026-08-22
Q1199032,Macedonian cuisine,Kuzhina Maqedonase,North Macedonia,41.65000,21.71667,90,Imam Bayıldı|stuffed peppers|Pinđur|cabbage roll|tarator|tripe chorba,https://www.wikidata.org/wiki/Q1199032|https://en.wikipedia.org/wiki/Macedonian_cuisine|https://sq.wikipedia.org/wiki/Kuzhina_Maqedonase,,2026-08-22
Q1199173,Albanian cuisine,Kuzhina shqiptare,Albania,41.00000,20.00000,96,Imam Bayıldı|Tavë Kosi|Kabuni|cabbage roll|Peppers with garlic and cream|Tomato casserole from Gjakova,https://www.wikidata.org/wiki/Q1199173|https://en.wikipedia.org/wiki/Albanian_cuisine|https://sq.wikipedia.org/wiki/Kuzhina_shqiptare,,2026-08-22
Q1246463,Maltese cuisine,Maltese cuisine,Malta,35.90000,14.40000,25,pastizz|cabbage roll|aljotta|Imqaret|Maltese bread|Fenkata,https://www.wikidata.org/wiki/Q1246463|https://en.wikipedia.org/wiki/Maltese_cuisine|https://en.wikipedia.org/wiki/Maltese_cuisine,,2026-08-22
Q1324207,Canadian cuisine,cuisine canadienne,Canada,56.00000,-109.00000,600,fish and chips|macaroni and cheese|fritter|Oasis Drive-In|all dressed|Harmony Lunch,https://www.wikidata.org/wiki/Q1324207|https://en.wikipedia.org/wiki/Canadian_cuisine|https://fr.wikipedia.org/wiki/Cuisine_canadienne,,2026-08-22
Q1328358,Cuban cuisine,gastronomía de Cuba,Cuba,22.00000,-79.50000,187,Moros y Cristianos|La Teresita|Pambiche Cocina and Repostería Cubana|La Bodeguita Cubana|Galleta de sal|Bakery Inka Havana,https://www.wikidata.org/wiki/Q1328358|https://en.wikipedia.org/wiki/Cuban_cuisine|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_Cuba,,2026-08-22
Q1328433,Tunisian cuisine,مطبخ تونسي,Tunisia,34.00000,10.00000,228,couscous|bazeen|Mafrum|La Kahena,https://www.wikidata.org/wiki/Q1328433|https://en.wikipedia.org/wiki/Tunisian_cuisine|https://ar.wikipedia.org/wiki/%D9%85%D8%B7%D8%A8%D8%AE_%D8%AA%D9%88%D9%86%D8%B3%D9%8A,,2026-08-22
Q1342397,Iranian cuisine,آشپزی ایرانی,Iran,32.00000,53.00000,600,pilaf|chelow kabab|khash|Jujeh kabab|falooda|Sheermal,https://www.wikidata.org/wiki/Q1342397|https://en.wikipedia.org/wiki/Iranian_cuisine|https://fa.wikipedia.org/wiki/%D8%A2%D8%B4%D9%BE%D8%B2%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C,,2026-08-22
Q1346230,Egyptian cuisine,المطبخ المصري,Egypt,27.00000,29.00000,567,qatayef|stuffed squash|cabbage roll|Foul Mohamed Ahmed|Foul Mohamed Ahmed|Abo Nasser,https://www.wikidata.org/wiki/Q1346230|https://en.wikipedia.org/wiki/Egyptian_cuisine|https://ar.wikipedia.org/wiki/%D9%85%D8%B7%D8%A8%D8%AE_%D9%85%D8%B5%D8%B1%D9%8A,,2026-08-22
Q1372774,Lao cuisine,ອາຫານລາວ,Laos,18.20000,104.10000,275,thali|khao soi|nam tok|drunken noodles|Mum|Simmary,https://www.wikidata.org/wiki/Q1372774|https://en.wikipedia.org/wiki/Lao_cuisine,,2026-08-22
Q1503789,Ukrainian cuisine,українська кухня,Ukraine,49.00000,32.00000,438,borscht|Angel wings|cold borscht|potato pancake|sauerkraut|Gugelhupf,https://www.wikidata.org/wiki/Q1503789|https://en.wikipedia.org/wiki/Ukrainian_cuisine|https://uk.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%BA%D1%83%D1%85%D0%BD%D1%8F,,2026-08-22
Q29359,Tex-Mex,Tex-mex (gastronomía),United States,31.00000,-100.00000,471,guacamole|Chipotle Mexican Grill|chili|queso|Baja Fresh|Chuy's,https://www.wikidata.org/wiki/Q29359|https://en.wikipedia.org/wiki/Tex-Mex|https://es.wikipedia.org/wiki/Tex-Mex_(gastronom%C3%ADa),,2026-08-22
Q41927,Okinawan cuisine,沖縄料理,Japan,26.21222,127.68083,27,Sōki|Peanut tofu|El Bosque,https://www.wikidata.org/wiki/Q41927|https://en.wikipedia.org/wiki/Okinawan_cuisine|https://ja.wikipedia.org/wiki/%E6%B2%96%E7%B8%84%E6%96%99%E7%90%86,,2026-08-22
Q381416,cuisine of the Southern United States,gastronomía del sur de Estados Unidos,United States,39.82818,-98.57950,600,ambrosia|mud pie|chess pie|Chicken Maryland|Lambert's Cafe|Paschal's,https://www.wikidata.org/wiki/Q381416|https://en.wikipedia.org/wiki/Cuisine_of_the_Southern_United_States|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_del_sur_de_Estados_Unidos,,2026-08-22
Q1026802,California cuisine,Gastronomía de California,United States,37.00000,-120.00000,367,Madrona Manor|Disney's Grand Californian Hotel & Spa|Cheese Board Collective|Commander's Palace|Manresa|Napa Rose,https://www.wikidata.org/wiki/Q1026802|https://en.wikipedia.org/wiki/California_cuisine|https://es.wikipedia.org/wiki/Cocina_California,,2026-08-22
Q1645076,Louisiana Creole cuisine,Cocina criolla,United States,31.00000,-92.00000,208,Red beans and rice|eggs Sardou|Antoine's|Brennan's|Mosca's|Oysters Rockefeller,https://www.wikidata.org/wiki/Q1645076|https://en.wikipedia.org/wiki/Louisiana_Creole_cuisine|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_criolla_de_Luisiana,,2026-08-22
Q2295586,Hawaiian cuisine,Gastronomía de Hawái,United States,21.50000,-158.00000,95,poi|butter mochi|Hula's Island Grill|Tangaroa Terrace Tropical Bar & Grill|Ate-Oh-Ate|Santo Market,https://www.wikidata.org/wiki/Q2295586|https://en.wikipedia.org/wiki/Cuisine_of_Hawaii|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_Haw%C3%A1i,,2026-08-22
Q1566930,Soviet cuisine,Sowjetische Küche,Soviet Union,65.00000,90.00000,600,Vitamin salad|cutlet de volaille|Leningradsky cake|Olivier salad|chicken Kyiv,https://www.wikidata.org/wiki/Q1566930|https://en.wikipedia.org/wiki/Soviet_cuisine,,2026-08-22
Q1640414,Cuisine of Uzbekistan,o'zbek taomlari,Uzbekistan,41.00000,66.00000,378,pilaf|beşbarmaq|chorba|oromo|dovga|Kazy,https://www.wikidata.org/wiki/Q1640414|https://en.wikipedia.org/wiki/Uzbek_cuisine|https://uz.wikipedia.org/wiki/O%CA%BBzbek_oshxonasi,,2026-08-22
Q1789628,Croatian cuisine,hrvatska kuhinja,Croatia,45.25000,15.46667,134,Krautfleckerl|cabbage roll|Osijek knödel|Slavonski med|Leporini Restaurant|Theatrum Bar & Food,https://www.wikidata.org/wiki/Q1789628|https://en.wikipedia.org/wiki/Croatian_cuisine|https://hr.wikipedia.org/wiki/Hrvatska_kuhinja,,2026-08-22
Q1850480,Belarusian cuisine,белорусская кухня,Belarus,53.52833,28.04667,257,borscht|Angel wings|cold borscht|potato pancake|Gugelhupf|zrazy,https://www.wikidata.org/wiki/Q1850480|https://en.wikipedia.org/wiki/Belarusian_cuisine|https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B0%D1%8F_%D0%BA%D1%83%D1%85%D0%BD%D1%8F,,2026-08-22
Q1988266,Dutch cuisine,нидерландская кухня,Netherlands,52.31667,5.55000,109,speculaas biscuit|oliebol|pepernoot|Stamppot|De Librije|lekkerbekje,https://www.wikidata.org/wiki/Q1988266|https://en.wikipedia.org/wiki/Dutch_cuisine,,2026-08-22
Q1996684,Azerbaijani cuisine,Azərbaycan mətbəxi,Azerbaijan,40.30000,47.70000,166,pilaf|stuffed peppers|khash|dovga|Shekerbura|Eggplant jam,https://www.wikidata.org/wiki/Q1996684|https://en.wikipedia.org/wiki/Azerbaijani_cuisine|https://az.wikipedia.org/wiki/Az%C9%99rbaycan_m%C9%99tb%C9%99xi,,2026-08-22
Q13497,Swiss cuisine,cuisine suisse,Switzerland,46.79856,8.23197,115,spätzle|raclette|Zopf|Zuger Kirschtorte|Zürcher Geschnetzeltes|Älplermagronen,https://www.wikidata.org/wiki/Q13497|https://en.wikipedia.org/wiki/Swiss_cuisine|https://fr.wikipedia.org/wiki/Cuisine_suisse,,2026-08-22
Q35623,Swedish cuisine,svenska köket,Sweden,61.00000,15.00000,377,kroppkaka|rødgrød|choklate ball|surströmming|lutefisk|semla,https://www.wikidata.org/wiki/Q35623|https://en.wikipedia.org/wiki/Swedish_cuisine|https://sv.wikipedia.org/wiki/Svenska_k%C3%B6ket,,2026-08-22
Q40578,cuisine of the United States,gastronomía de Estados Unidos,United States,39.82818,-98.57950,600,hamburger|angel food cake|Huey's|hot dog|taco|fish and chips,https://www.wikidata.org/wiki/Q40578|https://en.wikipedia.org/wiki/American_cuisine|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_Estados_Unidos,,2026-08-22
Q1520796,Filipino cuisine,Filipino cuisine,Philippines,12.00000,123.00000,331,champorado|banana ketchup|adobo|Jaltan|mango float|tortang talong,https://www.wikidata.org/wiki/Q1520796|https://en.wikipedia.org/wiki/Filipino_cuisine|https://en.wikipedia.org/wiki/Filipino_cuisine,,2026-08-22
Q1551510,Moldovan cuisine,Bucătăria moldovenească,Moldova,47.25000,28.51667,104,borscht|Papanași|stuffed peppers|blini|zeamă|cabbage roll,https://www.wikidata.org/wiki/Q1551510|https://en.wikipedia.org/wiki/Moldovan_cuisine|https://ro.wikipedia.org/wiki/Buc%C4%83t%C4%83ria_moldoveneasc%C4%83,,2026-08-22
Q10876842,Chinese cuisine,中国菜,People's Republic of China,35.84472,103.45194,600,Joy Hing's Roasted Meat|cold rice noodles|steamed fish head with diced hot red peppers,https://www.wikidata.org/wiki/Q10876842|https://en.wikipedia.org/wiki/Chinese_cuisine,,2026-08-22
Q1859351,Sicilian cuisine,cucina siciliana,Italy,42.50000,12.50000,310,Pasta alla Norma|parmigiana|crocchè|Pasta con le sarde|beccafico sardines|panelle,https://www.wikidata.org/wiki/Q1859351|https://en.wikipedia.org/wiki/Sicilian_cuisine|https://it.wikipedia.org/wiki/Cucina_siciliana,,2026-08-22
Q3699117,cuisine of the province of Como,cucina del Lago di Como,Italy,42.50000,12.50000,310,Misoltin|Paradello|Zincarlin,https://www.wikidata.org/wiki/Q3699117|https://it.wikipedia.org/wiki/Cucina_comasca,,2026-08-22
Q3699126,Emilian cuisine,Cucina emiliana,Italy,42.50000,12.50000,310,tortellini|gnocco fritto|maccheroni al pettine|Aceto balsamico tradizionale di Modena PDO,https://www.wikidata.org/wiki/Q3699126|https://en.wikipedia.org/wiki/Emilian_cuisine|https://it.wikipedia.org/wiki/Cucina_emiliana,,2026-08-22
Q3699146,Roman cuisine,cucina romana,Italy,41.89306,12.48278,25,Coda alla vaccinara|abbacchio|Coratella|Cencio la Parolaccia|cacio e pepe|pinsa,https://www.wikidata.org/wiki/Q3699146|https://en.wikipedia.org/wiki/Roman_cuisine|https://it.wikipedia.org/wiki/Cucina_romana,,2026-08-22
Q3277325,Slovenian cuisine,slovenska kuhinja,Slovenia,46.00000,15.00000,80,kasha|Posolanka|buckwheat porridge,https://www.wikidata.org/wiki/Q3277325|https://en.wikipedia.org/wiki/Slovenian_cuisine|https://sl.wikipedia.org/wiki/Seznam_slovenskih_narodnih_jedi,,2026-08-22
Q3444032,Dominican Republic cuisine,gastronomía de la República Dominicana,Dominican Republic,18.80000,-70.20000,124,Au 23|Yaroa|Olive & Oregano,https://www.wikidata.org/wiki/Q3444032|https://en.wikipedia.org/wiki/Dominican_Republic_cuisine|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_la_Rep%C3%BAblica_Dominicana,yes,2026-08-22
Q4115061,New Zealand cuisine,New Zealand cuisine,New Zealand,-41.20000,174.00000,292,fish and chips|pavlova|Anzac biscuit|Zucchini slice,https://www.wikidata.org/wiki/Q4115061|https://en.wikipedia.org/wiki/New_Zealand_cuisine|https://en.wikipedia.org/wiki/New_Zealand_cuisine,yes,2026-08-22
Q4119264,Syrian cuisine,مطبخ سوري,Syria,35.21667,38.58333,243,hummus|taboon bread|Jibneh Arabieh|qatayef|Eggplant jam|Halawet el Jibn,https://www.wikidata.org/wiki/Q4119264|https://en.wikipedia.org/wiki/Syrian_cuisine|https://ar.wikipedia.org/wiki/%D9%85%D8%B7%D8%A8%D8%AE_%D8%B3%D9%88%D8%B1%D9%8A,,2026-08-22
Q4855470,Bangladeshi cuisine,বাংলাদেশী রন্ধনশৈলী,Bangladesh,24.01667,89.86667,217,thali|zarda|Chhanamukhi|Shemai|sorshe ilish|Durus kura,https://www.wikidata.org/wiki/Q4855470|https://en.wikipedia.org/wiki/Bangladeshi_cuisine|https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%80_%E0%A6%B0%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%A8%E0%A6%B6%E0%A7%88%E0%A6%B2%E0%A7%80,,2026-08-22
Q5361328,Kyrgyz cuisine,Кыргыз ашканасы,Kyrgyzstan,41.00000,75.00000,252,pilaf|beşbarmaq|chorba|oromo|Kazy|Kattama,https://www.wikidata.org/wiki/Q5361328|https://en.wikipedia.org/wiki/Kyrgyz_cuisine|https://ky.wikipedia.org/wiki/%D0%9A%D1%8B%D1%80%D0%B3%D1%8B%D0%B7_%D0%B0%D1%88%D0%BA%D0%B0%D0%BD%D0%B0%D1%81%D1%8B,,2026-08-22
Q7005323,New American cuisine,Nueva cocina estadounidense,United States,39.82818,-98.57950,600,Clinton St. Baking Company & Restaurant|Gotham Bar and Grill|Gramercy Tavern|King's Carriage House|The Four Seasons Restaurant|Union Square Cafe,https://www.wikidata.org/wiki/Q7005323|https://en.wikipedia.org/wiki/New_American_cuisine|https://es.wikipedia.org/wiki/Nueva_cocina_estadounidense,,2026-08-22
Q7033037,Nigerian cuisine,Nigerian cuisine,Nigeria,9.00000,8.00000,542,moin moin|suya|palm nut soup|Ofada rice|Edikang Ikong|Akadi,https://www.wikidata.org/wiki/Q7033037|https://en.wikipedia.org/wiki/Nigerian_cuisine|https://en.wikipedia.org/wiki/Nigerian_cuisine,,2026-08-22
Q40606,Finnish cuisine,suomalainen keittiö,Finland,65.00000,27.00000,328,kalakukko|joulutorttu|semla|strong beer|Lohikeitto|Karelian hot pot,https://www.wikidata.org/wiki/Q40606|https://en.wikipedia.org/wiki/Finnish_cuisine|https://fi.wikipedia.org/wiki/Suomalainen_keitti%C3%B6,,2026-08-22
Q42029,Austrian cuisine,österreichische Küche,Austria,48.00000,14.00000,163,spätzle|Dampfnudel|pancake|strudel|Sachertorte|potato salad,https://www.wikidata.org/wiki/Q42029|https://en.wikipedia.org/wiki/Austrian_cuisine|https://de.wikipedia.org/wiki/%C3%96sterreichische_K%C3%BCche,,2026-08-22
Q47176,Lombard cuisine,cucina lombarda,Italy,42.50000,12.50000,310,gremolata|Taneda|Pan meino|Pan dei morti,https://www.wikidata.org/wiki/Q47176|https://en.wikipedia.org/wiki/Lombard_cuisine|https://it.wikipedia.org/wiki/Cucina_lombarda,,2026-08-22
Q47948,cuisine of Veneto,cucina veneta,Italy,42.50000,12.50000,310,Sarde in saor PAT|Coniglio veneto PAT|risi e bisi|Cassopipa PAT|Smegiassa PAT,https://www.wikidata.org/wiki/Q47948|https://en.wikipedia.org/wiki/Venetian_cuisine|https://it.wikipedia.org/wiki/Cucina_veneta,,2026-08-22
Q616698,Abruzzese cuisine,cucina abruzzese,Italy,42.50000,12.50000,310,Fiadone|arrosticini|Brodetto alla vastese|centerbe|mortadella di Campotosto,https://www.wikidata.org/wiki/Q616698|https://en.wikipedia.org/wiki/Abruzzese_cuisine|https://it.wikipedia.org/wiki/Cucina_abruzzese,,2026-08-22
Q691365,Sichuan cuisine,cuisine sichuanaise,People's Republic of China,35.84472,103.45194,600,laziji|Mouth-watering Chicken|yuxiang qiezi‎|yuxiangrousi|suancaiyu|Wing's Chinese Restaurant,https://www.wikidata.org/wiki/Q691365|https://en.wikipedia.org/wiki/Sichuan_cuisine,,2026-08-22
Q966423,Neapolitan cuisine,cucina napoletana,Italy,42.50000,12.50000,310,Pastiera|crocchè|Casatiello,https://www.wikidata.org/wiki/Q966423|https://en.wikipedia.org/wiki/Neapolitan_cuisine|https://it.wikipedia.org/wiki/Cucina_napoletana,,2026-08-22
Q1036629,Hong Kong cuisine,香港饮食文化,People's Republic of China,35.84472,103.45194,600,cha chaan teng|rice noodle roll|baked pork chop rice|Tim Ho Wan|cursory rice|custard mooncake,https://www.wikidata.org/wiki/Q1036629|https://en.wikipedia.org/wiki/Hong_Kong_cuisine,,2026-08-22
Q1154790,Cantonese cuisine,粤菜,People's Republic of China,35.84472,103.45194,600,turnip cake|Wong Kei|har gow|siu mei|char siu|gu lou juk,https://www.wikidata.org/wiki/Q1154790|https://en.wikipedia.org/wiki/Cantonese_cuisine,,2026-08-22
Q1206613,Beijing cuisine,Pekingi köök,People's Republic of China,35.84472,103.45194,600,Peking duck|Tōkasai-kan|red bean paste bun|Wing's Chinese Restaurant,https://www.wikidata.org/wiki/Q1206613|https://en.wikipedia.org/wiki/Beijing_cuisine,,2026-08-22
Q47629,German cuisine,deutsche Küche,Germany,51.00000,10.00000,337,Labskaus|Dampfnudel|stollen|strudel|potato salad|potato pancake,https://www.wikidata.org/wiki/Q47629|https://en.wikipedia.org/wiki/German_cuisine|https://de.wikipedia.org/wiki/Deutsche_K%C3%BCche,,2026-08-22
